av_biomass,st_dev_biomass
47204.0,4032.0
49785.0,4516.0
49677.0,3925.0
46882.0,5000.0
63011.0,6398.0
61075.0,4355.0
43978.0,5161.0
49677.0,4731.0
47634.0,5054.0
